,close,open,high,low,volume,SMA_20,RSI,ATR,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,target
2385,-0.26499809824754167,-0.2651776854707896,-0.27924064874298044,-0.24730228600753323,-1.196844800197246,-0.22963936299497945,-0.6003434295452834,-0.46200582614155505,-0.48284444557151723,-0.27975687712187247,-0.42633424726718966,0
2386,-0.2449053051459242,-0.25634843680905267,-0.2624770724858437,-0.23072822684651353,-1.1987859700639685,-0.23130978002553568,-0.3019934892587475,-0.5161613703188968,-0.46033351199917383,-0.1659387866161581,-0.4390193801835206,0
2387,-0.22236217142215828,-0.24874547268366753,-0.2447416947065533,-0.23072822684651353,-1.1949036303305238,-0.23217638735717744,0.008916061818728581,-0.5363690629327186,-0.39848617161029903,0.029344662926124417,-0.4359300356599643,0
2388,-0.22064693298665425,-0.22005041453302213,-0.20927093914797362,-0.19856960459378892,-1.1999330249852136,-0.23230198262263263,0.03233065610241048,-0.5436744542996503,-0.34473800702578766,0.1641111805585755,-0.42195461043152493,0
2389,-0.2434351007726348,-0.21637156092396498,-0.2352666298655631,-0.22479125043062625,-1.200638904936749,-0.22938817246406962,-0.30437214397839163,-0.551174212911991,-0.3429049063735036,0.1343659736086281,-0.4103819238738562,0
2390,-0.2556868038833771,-0.2460476467036925,-0.26782198085768405,-0.24062318753965956,-1.2000212599791555,-0.2291118628800676,-0.47561404963720616,-0.6082709384939187,-0.3624353634609176,0.053963169277195897,-0.40530396191267826,1
2391,-0.23289863609739653,-0.24850021577639728,-0.2522731565032384,-0.2396336914703453,1.9165269610436149,-0.23004126784443668,-0.12258402014714316,-0.6183184716657152,-0.33419251256272114,0.116225009840091,-0.3951966541383899,0
2392,-0.18854747083650966,-0.22814389247294778,-0.20999979028958818,-0.20772244323494912,2.2374376340103996,-0.22945097009679694,0.4570652278507126,-0.5954201827452459,-0.22928009141995606,0.3691844782076987,-0.3646559535890179,-1
2393,-0.19687862895181407,-0.1881670165878601,-0.20441193153720924,-0.18446928560605572,2.1578496694747824,-0.22917466051279492,0.3244772627357389,-0.6250063308183267,-0.16215214023165692,0.47143521525027127,-0.32585571057216883,-1
2394,-0.19761373113845906,-0.18497867679334343,-0.2090279887674356,-0.18174817141544078,1.0920591776502577,-0.22786846975205963,0.3122748098933959,-0.6739646100347555,-0.11145571439142433,0.5096974845738531,-0.28396474324837817,-1
2395,-0.2647530641853265,-0.19675100834232678,-0.22166140855542255,-0.24557066788623258,4.033990345661956,-0.22992823210552726,-0.6312782648113427,-0.571892600925081,-0.1960443092485078,0.1818449881316371,-0.2685568282306595,-1
2396,-0.24171986233713133,-0.263706144027167,-0.2605334694415375,-0.23790207334904462,1.564292865227446,-0.23191263729972122,-0.307658297591927,-0.6131858233594092,-0.22021955774960947,0.07963915974231675,-0.26140482807890203,-1
2397,-0.3071439569484947,-0.24457610526006987,-0.266121328193917,-0.29331385323066206,4.751870256373467,-0.2357558524226539,-1.0044720328835735,-0.508293347010357,-0.35908182944411354,-0.3060096674321133,-0.2854045140441231,0
