Date,close,open,high,low,volume,SMA_20,RSI,ATR,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,target
2010-05-26,1213.4,1203.8,1216.9,1201.0,237500.0,1200.59,58.16123424236551,22.98454555563137,14.570449742005849,-7.178611073983273,21.74906081598912,0
2010-05-27,1214.4,1213.5,1220.6,1207.4,138270.0,1202.8700000000001,58.47986310875818,22.22447428926047,14.557619431137255,-5.753153107881495,20.31077253901875,0
2010-05-28,1215.0,1213.4,1217.3,1203.8,96000.0,1204.585,58.68317795735485,21.550961154348286,14.429531644204417,-4.704992715851468,19.134524360055885,0
2010-05-31,1226.9,1216.7,1230.6,1211.6,107410.0,1206.7649999999999,62.59533666852137,21.355161392398553,15.11402660721501,-3.2163982022727,18.33042480948771,0
2010-06-02,1222.6,1227.7,1228.9,1215.0,90250.0,1209.435,60.370883510719324,20.785970242122005,15.135052272169332,-2.556298029854702,17.691350302024034,0
2010-06-03,1210.0,1225.2,1226.5,1202.4,115430.0,1211.185,54.283434006005315,21.037753002360706,13.973917938191562,-2.9739458910659806,16.947863829257543,1
2010-06-04,1217.7,1208.5,1222.0,1198.1,139930.0,1212.205,57.12843265642528,21.254227512684988,13.519195392332222,-2.7429347495402574,16.26213014187248,0
2010-06-07,1240.8,1221.1,1246.7,1212.1,154990.0,1213.725,64.3050691186736,22.259357247570104,14.851601427430069,-1.1284229715539293,15.980024398983998,0
2010-06-08,1245.6,1242.6,1254.5,1235.0,143920.0,1215.965,65.59391441885576,22.052342167471163,16.109166253476133,0.10331348359370907,16.005852769882424,0
2010-06-09,1229.9,1237.1,1242.6,1223.1,125490.0,1216.4450000000002,58.19265665501074,22.08580648910557,15.658435946207646,-0.2779334589398239,15.93636940514747,0
2010-06-10,1222.2,1234.4,1236.0,1216.2,118690.0,1215.4,54.91965989063454,21.915499145248138,14.512610936852525,-1.1390067746359556,15.65161771148848,0
2010-06-11,1230.2,1218.8,1232.4,1218.1,80170.0,1215.45,57.58862958555068,21.349836328091353,14.087675548476227,-1.2511537304098042,15.338829278886031,0
2010-06-14,1224.5,1229.3,1235.9,1217.5,97230.0,1215.285,55.08616164230671,21.131351383115657,13.139504796347182,-1.759459586031081,14.898964382378264,1
2010-06-15,1234.4,1223.0,1238.5,1221.1,104400.0,1215.6,58.462292885630305,20.855709324309,13.036641616800125,-1.4898582124625115,14.526499829262637,0
2010-06-16,1230.5,1236.1,1239.5,1228.3,83670.0,1216.395,56.655552613308686,20.144162172123973,12.496373979072132,-1.6241006801524058,14.120474659224538,0
2010-06-17,1248.7,1231.6,1252.8,1231.0,140090.0,1219.175,62.482548074493316,20.302671114343795,13.382530399893994,-0.5903554074644344,13.972885807358429,0
2010-06-18,1258.3,1247.6,1263.7,1243.1,115420.0,1222.66,65.14431121725238,20.32448660947842,14.690116992846697,0.5737849483906139,14.116332044456083,0
2010-06-21,1240.7,1261.2,1266.5,1231.6,154610.0,1225.89,57.14034820298167,21.39184140454843,14.14318207857491,0.021480027295060822,14.121702051279849,0
2010-06-22,1240.8,1233.3,1244.0,1233.0,122710.0,1228.23,57.17254575487954,20.632221900651608,13.561473161939603,-0.448183111472197,14.0096562734118,0
2010-06-23,1234.8,1240.6,1247.4,1225.2,138830.0,1230.0700000000002,54.52580018419619,20.74663188067107,12.472539131391159,-1.2296937136165145,13.702232845007673,0
2010-06-24,1245.9,1237.6,1249.5,1228.0,130030.0,1231.6950000000002,58.36580078195678,20.80152464323846,12.362718576045381,-1.0716114151698335,13.434329991215215,-1
2010-06-25,1256.2,1244.5,1259.5,1241.6,91010.0,1233.7849999999999,61.605702810063164,20.590413315558077,12.957443570278429,-0.381509136749429,13.338952707027858,-1
2010-06-28,1238.6,1255.8,1263.7,1235.9,146270.0,1234.965,53.888842425732165,21.114277048065667,11.871744422508755,-1.173766627615283,13.045511050124038,-1
2010-06-29,1242.4,1239.0,1246.0,1227.6,148820.0,1235.74,55.193849809589544,20.917294952475068,11.188968800495559,-1.485233799702785,12.674202600198344,-1
2010-06-30,1245.9,1241.6,1248.8,1235.1,110720.0,1236.905,56.41731072538894,20.39411574046059,10.805723298342855,-1.4947834414843921,12.300506739827247,-1
2010-07-01,1206.7,1243.0,1244.8,1196.0,257840.0,1236.74,42.43983219371223,22.530719960669195,7.255252055364508,-4.036203747570193,11.291455802934701,0
2010-07-02,1207.7,1199.0,1214.0,1198.8,119620.0,1236.2400000000002,42.82895901795607,22.000403833700673,4.470634961232236,-5.456656673361973,9.927291634594209,0
2010-07-05,1195.1,1212.2,1215.1,1189.5,148110.0,1233.955,39.23025994021296,22.260566896194963,1.232879289633047,-6.95552987596893,8.188409165601977,0
2010-07-07,1198.9,1194.0,1204.4,1185.0,126920.0,1231.6200000000001,40.84461852686856,22.053992615527623,-1.0147398751769288,-7.362519232623125,6.347779357446196,0
2010-07-08,1196.1,1202.9,1208.2,1187.3,123080.0,1229.9299999999998,40.00138707218983,21.97072310738726,-2.987492897461834,-7.468217803926425,4.480724906464591,0
2010-07-09,1209.8,1198.5,1214.1,1194.6,110470.0,1229.31,45.887844498286384,21.79257119663285,-3.406174121218328,-6.309519222146335,2.903345100928007,0
2010-07-12,1198.7,1212.3,1213.5,1196.1,96040.0,1227.7350000000001,42.269368842827646,21.476058254196527,-4.580854007395374,-5.987359286658704,1.4065052792633308,0
2010-07-13,1213.5,1197.7,1218.8,1196.5,110460.0,1227.185,48.14120390040989,21.535391292333237,-4.2683570064527885,-4.539889828572895,0.271532822120107,0
2010-07-14,1207.0,1212.0,1218.2,1202.5,107460.0,1225.815,45.93159508350447,21.115422420561597,-4.493399447236243,-3.81194581548508,-0.681453631751163,0
2010-07-15,1208.3,1208.1,1217.3,1203.7,102200.0,1224.705,46.46087376977978,20.574835225674594,-4.5148042148330205,-3.0666804664654856,-1.4481237483675347,0
2010-07-16,1188.2,1209.0,1210.9,1185.8,145700.0,1221.6799999999998,39.94928136612323,20.90016879469255,-6.083542375032039,-3.708334901331603,-2.375207473700436,0
2010-07-19,1181.9,1193.7,1194.7,1176.9,119210.0,1217.8600000000001,38.14475258793314,20.67738807500818,-7.745846718492203,-4.296511395833414,-3.449335322658789,0
2010-07-20,1191.7,1183.2,1193.7,1175.1,144270.0,1215.4099999999999,42.496086886368076,20.528169734065962,-8.178183777117965,-3.7830787635673406,-4.395105013550625,-1
2010-07-21,1191.8,1191.8,1198.0,1183.0,146980.0,1212.96,42.54050563396008,20.131241738205734,-8.415733509350503,-3.2165027966399027,-5.1992307127106,-1
2010-07-22,1195.6,1184.1,1201.2,1180.7,134690.0,1211.0,44.30119628264069,20.157709085582916,-8.202808273813616,-2.4028620488824135,-5.799946224931203,-1
2010-07-23,1187.8,1195.1,1203.9,1183.4,137640.0,1208.0949999999998,41.49079276664086,20.18226826940977,-8.564729433733874,-2.211826567042136,-6.352902866691737,0
2010-07-26,1183.1,1188.0,1194.8,1178.6,193660.0,1204.44,39.850305658595545,19.8966343761662,-9.125610918757275,-2.2181664416524294,-6.907444477104845,0
2010-07-27,1158.0,1182.7,1186.5,1156.9,235880.0,1200.41,32.467374676213744,20.592414922929212,-11.463331615926563,-3.6447097110573736,-7.81862190486919,0
2010-07-28,1160.4,1161.1,1165.0,1155.6,206830.0,1196.31,33.73160387007087,19.79008383283106,-12.972789921504273,-4.123334413308067,-8.849455508196206,1
2010-07-29,1171.2,1165.8,1172.0,1161.6,113130.0,1192.575,39.24351281773388,19.203126265996723,-13.146037426768999,-3.437265534858234,-9.708771891910764,0
2010-07-30,1183.9,1170.8,1185.8,1168.0,119040.0,1191.435,45.033267287840935,19.102592572272208,-12.118854846258046,-1.928066363477825,-10.19078848278022,0
2010-08-02,1185.4,1183.8,1193.9,1176.7,89850.0,1190.32,45.69154201847139,18.966302374733964,-11.056317441627016,-0.6924231670774343,-10.363894274549581,0
2010-08-03,1187.5,1184.8,1193.0,1181.6,67040.0,1189.94,46.65474055051224,18.42440962922737,-9.930325828977175,0.34685475645792607,-10.2771805854351,0
2010-08-04,1195.9,1188.1,1205.5,1187.0,119100.0,1189.79,50.44104195006311,18.429822321359456,-8.264887091670516,1.6098347950116683,-9.874721886682185,0
2010-08-05,1199.3,1197.0,1202.8,1192.0,76530.0,1189.95,51.928322644970365,17.883581177738545,-6.594644353420108,2.6240620266096624,-9.21870638002977,0
2010-08-06,1205.3,1197.4,1213.3,1194.5,105720.0,1189.725,54.522074566258794,17.949179483305677,-4.732264494637775,3.589153508313597,-8.321418002951372,0
2010-08-09,1202.6,1206.3,1212.1,1201.1,69570.0,1189.92,53.132765786869136,17.4518251635362,-3.434590650923383,3.9094618816223923,-7.344052532545775,0
2010-08-10,1198.0,1203.3,1209.9,1192.5,101150.0,1189.145,50.75962468649833,17.448116550393994,-2.7457055522763767,3.678677584215519,-6.424383136491896,1
