,FEDFUNDS,"('Close', 'DX-Y.NYB')","('High', 'DX-Y.NYB')","('Low', 'DX-Y.NYB')","('Open', 'DX-Y.NYB')","('Volume', 'DX-Y.NYB')",CPIAUCSL,DFII10,UNRATE
2010-02-01,0.13,79.23999786376953,79.52999877929688,79.16000366210938,79.43000030517578,0,217.281,1.29,9.8
2010-03-01,0.16,80.66000366210938,81.26000213623047,80.29000091552734,80.33000183105469,0,217.353,1.46,9.9
2010-04-01,0.2,80.77999877929688,81.25,80.68000030517578,81.04000091552734,0,217.403,1.61,9.9
2010-06-01,0.18,86.63999938964844,87.47000122070312,86.16000366210938,86.58000183105469,0,217.199,1.32,9.4
2010-07-01,0.18,84.72000122070312,86.26000213623047,84.41999816894531,86.0999984741211,0,217.605,1.21,9.4
2010-09-01,0.19,82.5199966430664,83.22000122070312,82.19000244140625,83.08999633789062,0,218.275,1.02,9.5
2010-10-01,0.19,78.08999633789062,78.83000183105469,78.02999877929688,78.80000305175781,0,219.035,0.75,9.4
2010-11-01,0.19,77.30000305175781,77.41999816894531,76.7699966430664,76.94999694824219,0,219.59,0.49,9.8
2010-12-01,0.18,80.70999908447266,81.36000061035156,80.5,81.26000213623047,0,220.472,0.83,9.3
2011-02-01,0.16,77.06999969482422,77.66000366210938,76.94000244140625,77.61000061035156,0,221.898,1.11,9.0
2011-03-01,0.14,77.05000305175781,77.0999984741211,76.73999786376953,76.86000061035156,0,223.046,1.0,9.0
2011-04-01,0.1,75.83000183105469,76.61000061035156,75.77999877929688,76.05000305175781,0,224.093,0.94,9.1
2011-06-01,0.09,74.68000030517578,74.94000244140625,74.30999755859375,74.44000244140625,0,224.806,0.74,9.1
2011-07-01,0.07,74.3499984741211,74.69000244140625,74.19999694824219,74.44000244140625,0,225.395,0.77,9.0
2011-08-01,0.1,74.26000213623047,74.52999877929688,73.58000183105469,73.91999816894531,0,226.106,0.33,9.0
2011-09-01,0.08,74.4800033569336,74.4800033569336,74.4800033569336,74.4800033569336,0,226.597,0.07,9.0
2011-11-01,0.08,77.26000213623047,77.66999816894531,74.9800033569336,76.55000305175781,0,227.169,-0.04,8.6
2011-12-01,0.07,78.31999969482422,79.37000274658203,77.91999816894531,78.37000274658203,0,227.223,0.06,8.5
2012-02-01,0.1,78.91999816894531,79.56999969482422,78.62000274658203,79.30999755859375,0,228.329,-0.28,8.3
2012-03-01,0.13,78.77999877929688,78.93000030517578,78.08999633789062,78.7699966430664,0,228.807,-0.23,8.2
2012-05-01,0.16,78.86000061035156,78.97000122070312,78.5999984741211,78.77999877929688,0,228.713,-0.28,8.2
2012-06-01,0.16,82.88999938964844,83.54000091552734,82.6500015258789,83.06999969482422,0,228.524,-0.59,8.2
2012-08-01,0.13,83.05999755859375,83.16000366210938,82.4800033569336,82.70999908447266,0,229.918,-0.67,8.1
2012-10-01,0.16,79.81999969482422,80.1500015258789,79.36000061035156,80.0,0,231.638,-0.78,7.8
2012-11-01,0.16,80.05000305175781,80.11000061035156,79.66999816894531,79.94000244140625,0,231.249,-0.77,7.7
2013-02-01,0.15,79.12999725341797,79.37000274658203,78.91999816894531,79.0999984741211,0,232.937,-0.55,7.7
2013-03-01,0.14,82.30999755859375,82.51000213623047,81.47000122070312,81.91999816894531,0,232.282,-0.67,7.5
2013-04-01,0.15,82.7300033569336,83.18000030517578,82.6500015258789,83.04000091552734,0,231.797,-0.65,7.6
2013-05-01,0.11,81.63999938964844,81.73999786376953,81.33000183105469,81.70999908447266,0,231.893,-0.64,7.5
2013-07-01,0.09,82.9800033569336,83.2300033569336,82.97000122070312,83.19999694824219,0,232.9,0.48,7.3
2013-08-01,0.08,82.33999633789062,82.41000366210938,81.41000366210938,81.41000366210938,0,233.456,0.48,7.2
2013-10-01,0.09,80.0999984741211,80.31999969482422,79.86000061035156,80.2699966430664,0,233.669,0.46,7.2
2013-11-01,0.08,80.7300033569336,80.79000091552734,80.2300033569336,80.2300033569336,0,234.1,0.5,6.9
2014-04-01,0.09,80.08000183105469,80.12999725341797,79.97000122070312,80.0999984741211,0,236.468,0.63,6.2
2014-05-01,0.09,79.52999877929688,79.54000091552734,79.41000366210938,79.51000213623047,0,236.918,0.43,6.3
2014-07-01,0.09,79.81999969482422,79.87000274658203,79.73999786376953,79.79000091552734,0,237.498,0.32,6.2
2014-08-01,0.09,81.30000305175781,81.54000091552734,81.19000244140625,81.44999694824219,0,237.46,0.25,6.1
2014-10-01,0.09,85.97000122070312,86.18000030517578,85.77999877929688,85.91000366210938,0,237.43,0.46,5.7
2014-12-01,0.12,87.94999694824219,88.44999694824219,87.77999877929688,88.2300033569336,0,236.252,0.43,5.6
2015-04-01,0.12,98.19000244140625,98.63999938964844,97.9800033569336,98.41999816894531,0,236.222,0.07,5.4
2015-05-01,0.12,95.30000305175781,95.4000015258789,94.5,94.83000183105469,0,237.001,0.18,5.6
2015-06-01,0.13,97.38999938964844,97.68000030517578,96.88999938964844,96.88999938964844,0,237.657,0.39,5.3
2015-07-01,0.13,96.30999755859375,96.3499984741211,95.47000122070312,95.5999984741211,0,238.034,0.54,5.2
2015-09-01,0.14,95.44999694824219,95.93000030517578,95.19000244140625,95.93000030517578,0,237.498,0.6,5.0
2015-10-01,0.12,96.19000244140625,96.48999786376953,95.97000122070312,96.2699966430664,0,237.733,0.59,5.0
2015-12-01,0.24,99.80000305175781,100.26000213623047,99.72000122070312,100.25,0,237.761,0.58,5.0
2016-02-01,0.38,99.0,99.62999725341797,98.93000030517578,99.54000091552734,0,237.336,0.57,4.9
2016-03-01,0.36,98.3499984741211,98.56999969482422,98.08999633789062,98.18000030517578,0,238.08,0.35,5.0
2016-04-01,0.37,94.62000274658203,95.11000061035156,94.33000183105469,94.63999938964844,0,238.992,0.17,5.1
2016-06-01,0.38,95.45999908447266,95.9000015258789,95.33999633789062,95.81999969482422,0,240.222,0.31,4.9
2016-07-01,0.39,95.6500015258789,96.08000183105469,95.41000366210938,95.88999938964844,0,240.101,0.03,4.8
2016-08-01,0.4,95.70999908447266,95.81999969482422,95.51000213623047,95.51000213623047,0,240.545,0.05,4.9
2016-09-01,0.4,95.6500015258789,96.23999786376953,95.5999984741211,95.98999786376953,0,241.176,0.12,5.0
2016-11-01,0.41,97.69999694824219,98.4800033569336,97.63999938964844,98.38999938964844,0,242.026,0.11,4.7
2016-12-01,0.54,101.04000091552734,101.58999633789062,100.87000274658203,101.51000213623047,0,242.637,0.48,4.7
2017-02-01,0.66,99.63999938964844,100.04000091552734,99.5,99.55999755859375,0,244.006,0.43,4.6
2017-03-01,0.79,101.77999877929688,101.97000122070312,101.2300033569336,101.44000244140625,0,243.892,0.43,4.4
2017-05-01,0.91,99.13999938964844,99.20999908447266,98.88999938964844,98.93000030517578,0,244.004,0.41,4.4
2017-06-01,1.04,97.19999694824219,97.31999969482422,96.9000015258789,96.98999786376953,0,244.163,0.4,4.3
2017-08-01,1.16,93.02999877929688,93.12000274658203,92.77999877929688,92.88999938964844,0,245.183,0.47,4.4
2017-09-01,1.15,92.80999755859375,92.93000030517578,92.0999984741211,92.61000061035156,0,246.435,0.37,4.3
2017-11-01,1.16,94.81999969482422,94.8499984741211,94.51000213623047,94.55000305175781,0,247.284,0.49,4.2
2017-12-01,1.3,92.9000015258789,93.25,92.5999984741211,93.02999877929688,0,247.805,0.51,4.1
