Date,Gold,TRIX,KAMA,SMA_50,SMA_200,MACD,MACD_Signal,RSI_14,Volume,BB_Width,ATR,Elder_Force,flux_dollars,shares
2004-12-01,454.0,,,,,,,,2682,,,,,0.0
2005-02-01,420.79998779296875,,,,,,,,1461,,,,0.0,0.0
2005-03-01,432.8999938964844,,,,,,,,1,,,,0.0,0.0
2005-04-01,425.8999938964844,,,,,,,,552,,,,0.0,0.0
2005-06-01,415.29998779296875,,,,,,,,2816,,,,0.0,0.0
2005-07-01,427.79998779296875,,,,,,,,0,,,,0.0,0.0
2005-08-01,431.8999938964844,,,,,,,,776,,,,0.0,0.0
2005-09-01,442.29998779296875,,,,,,,,4,,,,0.0,0.0
2005-11-01,458.79998779296875,,,,,,,,5,,,,0.0,0.0
2005-12-01,502.5,,,,,,,,2665,,,,0.0,0.0
2006-02-01,569.4000244140625,,,,,,,,3768,,,,0.0,0.0
2006-03-01,563.5,,,,,,,,1,,,,0.0,0.0
2006-05-01,657.5,,,,,,,,9,,,,0.0,0.0
2006-06-01,627.5999755859375,,,,,,,,1682,,,18475.92716393104,0.0,0.0
2006-08-01,646.2999877929688,,,,,,,76.30641909279244,1360,,26.107151576450892,24163.406735933742,0.0,0.0
2006-09-01,624.4000244140625,,,,,,,71.68106490776948,26,,25.80663813376913,24118.67603947566,0.0,0.0
2006-11-01,616.5999755859375,,,,,,,70.05234936116763,6,,24.52045318336598,24412.30678617037,0.0,0.0
2006-12-01,644.7000122070312,,,,,,,72.47844547417398,728,,24.77613771463225,28282.033235990086,0.0,0.0
2007-02-01,657.4000244140625,,,,,,,73.52245600205539,1198,,23.91355732123218,29452.38820706881,0.0,0.0
2007-03-01,662.2999877929688,,,,,,,73.93331341448372,1,0.5881293281552136,22.5554434682089,29208.026301457332,0.0,0.0
2007-05-01,674.4000244140625,,,,,,,74.96635099499278,6,0.5938560900240625,21.80862869341496,29210.410935621996,0.0,0.0
2007-06-01,671.2000122070312,,,,,,,74.12964697379711,1496,0.5926683666198439,20.47944180153041,28835.81722318209,0.0,0.0
2007-08-01,663.5999755859375,,,,,,,72.07223064977163,2026,0.5887669316373226,19.559484288642075,18692.878244253305,0.0,0.0
2007-10-01,747.2000122070312,,,,,,,78.98240176041736,644,0.5310595054316202,24.133809455245764,3443.5806743915264,0.0,0.0
2007-11-01,790.7000122070312,,,,,,,81.54165252851114,4,0.5098015591384439,25.51710877987107,3457.4191378079927,0.0,0.0
